"Filename","FileSize","ModifiedDate"
"gdas1.aug14.w3","571 MB","8/22/14, 10:00:00 AM"
"gdas1.aug14.w4","571 MB","8/29/14, 10:00:00 AM"
"gdas1.aug14.w5","245 MB","9/1/14, 10:00:00 AM"
"gdas1.aug15.w1","571 MB","8/7/15, 10:00:00 AM"
"gdas1.aug15.w2","571 MB","8/14/15, 10:00:00 AM"
"gdas1.aug15.w3","571 MB","8/21/15, 10:00:00 AM"
"gdas1.aug15.w4","571 MB","8/28/15, 10:00:00 AM"
"gdas1.aug15.w5","245 MB","8/31/15, 10:00:00 AM"
"gdas1.aug16.w1","571 MB","8/7/16, 10:00:00 AM"
"gdas1.aug16.w2","571 MB","8/14/16, 10:00:00 AM"
"gdas1.aug16.w3","571 MB","8/21/16, 10:00:00 AM"
"gdas1.aug16.w4","571 MB","8/28/16, 10:00:00 AM"
"gdas1.aug16.w5","245 MB","8/31/16, 10:00:00 AM"
"gdas1.aug17.w1","571 MB","8/8/17, 10:00:00 AM"
"gdas1.aug17.w2","571 MB","8/15/17, 10:00:00 AM"
"gdas1.aug17.w3","571 MB","8/22/17, 10:00:00 AM"
"gdas1.aug17.w4","571 MB","8/29/17, 10:00:00 AM"
"gdas1.aug17.w5","245 MB","9/1/17, 10:00:00 AM"
"gdas1.aug18.w1","571 MB","8/8/18, 10:00:00 AM"
"gdas1.aug18.w2","571 MB","8/15/18, 10:00:00 AM"
"gdas1.aug18.w3","571 MB","8/22/18, 10:00:00 AM"
"gdas1.aug18.w4","571 MB","8/29/18, 10:00:00 AM"
"gdas1.aug18.w5","245 MB","9/1/18, 10:00:00 AM"
"gdas1.aug19.w1","571 MB","8/8/19, 10:00:00 AM"
"gdas1.aug19.w2","571 MB","8/15/19, 10:00:00 AM"
"gdas1.aug19.w3","571 MB","8/22/19, 10:00:00 AM"
"gdas1.aug19.w4","571 MB","8/29/19, 10:00:00 AM"
"gdas1.aug19.w5","245 MB","9/1/19, 10:00:00 AM"
"gdas1.aug20.w1","571 MB","8/8/20, 10:00:00 AM"
"gdas1.aug20.w2","571 MB","8/15/20, 10:00:00 AM"
"gdas1.aug20.w3","571 MB","8/22/20, 3:47:00 PM"
"gdas1.aug20.w4","571 MB","8/29/20, 4:47:00 PM"
"gdas1.aug20.w5","245 MB","9/1/20, 4:46:00 PM"
"gdas1.dec04.w1","571 MB","11/26/07, 11:00:00 AM"
"gdas1.dec04.w2","571 MB","11/26/07, 11:00:00 AM"
"gdas1.dec04.w3","571 MB","11/26/07, 11:00:00 AM"
"gdas1.dec04.w4","571 MB","11/26/07, 11:00:00 AM"
"gdas1.dec04.w5","245 MB","11/26/07, 11:00:00 AM"
